,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_afghan,hash_afghanistan,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_tiktok,hash_viral,hash_پشتون_تاجیک_هزاره_ازبک_زنده_باد
0,FR,7084924456849706245,1649587523, ,6861266353005888518,La tictokeuse 869,latiktokeuse869🦄,0,False,https://m.tiktok.com/v/7084924456849706245.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084924456849706245&source=h5_m,12348484,1645,16192,5377,130531,7000790913404422918,7000790913404422918,72,7000790913404422918,original sound - kel_mua (Contains music from: God Rest Yee Merry Tim Smith - Lazar 111),"Contains music from: ""God Rest Yee Merry Tim Smith""",6.811933763204908e+18,Kelly,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7000791070732733189.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/60e75e8a0da3f1e6942c8c9bbca3111d.json,False,False,Lazar 111,God Rest Yee Merry Tim Smith,original sound - kel_mua (Contains music from: God Rest Yee Merry Tim Smith - Lazar 111),"Contains music from: ""God Rest Yee Merry Tim Smith""",[],0,0,Afghanistan,,0,0,0,0,0,0,0,0,0,0
1,GB,7103134505367522565,1653827381, ,7004444562576114693,goodmovie68,,0,False,https://m.tiktok.com/v/7103134505367522565.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103134505367522565&source=h5_m,180812,6,17,56,3382,7103134490234522374,7103134490234522374,72,7103134490234522374,original sound - goodmovie68,goodmovie68,7.004444562576115e+18,goodmovie68,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103134483284609798.mp3,,False,False,,,,,[],0,0,Afghanistan,,0,0,0,0,0,0,0,0,0,0
2,CA,7102885137716661509,1653769320, ,7028202751805178885,mm,,0,False,https://m.tiktok.com/v/7102885137716661509.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102885137716661509&source=h5_m,172906,42,23,134,5627,7102885126493129478,7102885126493129478,72,7102885126493129478,original sound - iim_.861,mm,7.028202751805179e+18,mm,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102885127147113221.mp3,,False,False,,,,,[],0,0,Afghanistan,,0,0,0,0,0,0,0,0,0,0
3,AF,7087209130749889793,1650119466,#pubg 🥴😂😩,6631808432041148421,Sona Sadat,"𝖨'𝗅𝗅 𝗆𝖺𝗄𝖾 𝗒𝗈𝗎 𝗌𝗍𝗈𝗉 𝖺𝗇𝖽 𝗌𝗍𝖺𝗋𝖾 
𝖨𝖽 𝗉𝗎𝖻𝗀: 5594734343
👻",0,False,https://m.tiktok.com/v/7087209130749889793.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7087209130749889793&source=h5_m,190661,281,251,44,15275,6921985903825095425,6921985903825095425,72,6921985903825095425,original sound - tiktokwatanii,TikTok Watani,6.724365262554547e+18,TikTok Watani,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6921985874099964673.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/a43449dfb40efceeb974c921e5f7754a.json,False,False,,,,,[],0,0,Afghanistan,#pubg,0,0,0,0,0,0,0,0,0,0
4,SE,7085947393635650818,1649825695,#медицинский #медицина #мед #медик #медики #студентмедик#красгму  #учебавмеде #акушерство #гинекология #медикишутят #медикипоймут #медикитиктока #рек,6556893669395660806,Роза С Мороза,"Студентка меда
Вечно учусь, треню и мечтаю
Больше обо мне в инстаграме",0,False,https://m.tiktok.com/v/7085947393635650818.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085947393635650818&source=h5_m,9732760,2342,3884,8182,317763,7085947368411122433,7085947368411122433,24,7085947368411122433,original sound - roza_smorozaa (Contains music from: Мы открываем бизнес (Skit) - SHOOVAL),"Contains music from: ""Мы открываем бизнес (Skit)""",6.556893669395661e+18,Роза С Мороза,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7085947381899971330.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c0098d8a9d637c4c0d8b3b04901bfb93.json,False,False,SHOOVAL,Мы открываем бизнес (Skit),original sound - roza_smorozaa (Contains music from: Мы открываем бизнес (Skit) - SHOOVAL),"Contains music from: ""Мы открываем бизнес (Skit)""",[],0,0,Afghanistan,#медицинский #медицина #мед #медик #медики #студентмедик#красгму #учебавмеде #акушерство #гинекология #медикишутят #медикипоймут #медикитиктока #рек,0,0,0,0,0,0,0,0,0,0
5,ES,7103209458540514565,1653844832,©️ @marcelotwelve 🏆 Benzema🔔 #CHAMP14NS | #CAMPEON35,6693776501107033094,Real Madrid C.F.,"⚽️ The official Real Madrid C.F. account
🏆 14 times European Champions",0,False,https://m.tiktok.com/v/7103209458540514565.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103209458540514565&source=h5_m,6463989,2267,6273,39322,661147,7103209451725130501,7103209451725130501,72,7103209451725130501,original sound - realmadrid,Real Madrid C.F.,6.693776501107033e+18,Real Madrid C.F.,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103209458482891526.mp3,,False,False,,,,,[],0,0,Afghanistan,#CHAMP14NS #CAMPEON35,0,0,0,0,0,0,0,0,0,0
6,AF,7098340766673538306,1652711251,#fypシ #foryou #foryoupage #🥀🖤,6853455037809935365,🇦🇫A_B OFICIAL.COM❤️,Thanks for support 100k🥰🥰😍🇦🇫🇦🇫,0,False,https://m.tiktok.com/v/7098340766673538306.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098340766673538306&source=h5_m,67592,41,29,557,7696,7080075575364274971,7080075575364274971,72,7080075575364274971,original sound - ameri____7 (Contains music from: Tu Jaan Le - Dev Kohli),"Contains music from: ""Tu Jaan Le""",6.912107053139101e+18,👑̶«̶ا̶م̶ی̶ر̶ی̶» 👑,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7080075573389331227.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/fc1abe48a7124316e5684ff623b0ebec.json,False,False,Dev Kohli,Tu Jaan Le,original sound - ameri____7 (Contains music from: Tu Jaan Le - Dev Kohli),"Contains music from: ""Tu Jaan Le""",[],0,0,Afghanistan,#fypシ #foryou #foryoupage #🥀🖤,0,0,1,1,0,0,1,0,0,0
7,DE,7095831185783311621,1652126944,@b_2_i_0_b_0_a_1_h,6591390607188426758,rezaeer,,0,False,https://m.tiktok.com/v/7095831185783311621.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095831185783311621&source=h5_m,190447,0,13,21,1474,7095831167186471686,7095831167186471686,72,7095831167186471686,original sound - rezaeer,rezaeer,6.591390607188427e+18,rezaeer,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7095831180813126406.mp3,,False,False,,,,,[],0,0,Afghanistan,,0,0,0,0,0,0,0,0,0,0
0,AF,7101827882942614786,1653523171,"love you guys ,like ,comment share #viral #esmatullah #foryou #afghan_khan_official #foryou #afghani #afghantiktok #afghanboy #afghanistan #afghan #share #comment #like",6828022654521656325,king EQ,𝑰 𝑨𝑴 𝑵𝑶𝑻 𝑨𝑭𝑹𝑨𝑰𝑫 𝑻𝑶 𝑾𝑨𝑳𝑲 𝑻𝑯𝑰𝑺 𝑾𝑶𝑹𝑳𝑫 𝑨𝑳𝑶𝑵𝑬 🌍,0,False,https://www.tiktok.com/@esmatullahqani16/video/7101827882942614786?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101827882942614786&source=h5_m,305,6,6,1,47,7101827876613360385,7101827876613360385,72,7101827876613360385,original sound - esmatullahqani16,king EQ,6.828022654521656e+18,king EQ,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7101827817553300225.mp3,,False,False,,,,,[],0,0,Afghanistan,#viral #esmatullah #foryou #afghan_khan_official #foryou #afghani #afghantiktok #afghanboy #afghanistan #afghan #share #comment #like,1,1,2,0,0,0,0,0,1,0
1,AF,7090643055623097602,1650918988,⚠️just training⚠️#omid_sf #NDS #09 #unit #01 #unit #kunduz #afghanistan🇦🇫 #🖤❤💚,6878584596998603782,🖤❤💚Afghanistan Ex_Army🖤❤💚,🇦🇫Afg_Forces_ok🇦🇫,0,False,https://www.tiktok.com/@afg.forces.ok/video/7090643055623097602?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7090643055623097602&source=h5_m,34335,4,13,11,1219,7048330992989457158,7048330992989457158,72,7048330992989457158,original sound - malik.popal,official〰️popal,7.012351496579007e+18,official〰️popal,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7048331010387217157.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/183a7937b9cae87fb0ca88b38c9c79d7.json,False,False,,,,,[],0,0,Afghanistan,#omid_sf #NDS #09 #unit #01 #unit #kunduz #afghanistan🇦🇫 #🖤❤💚,0,1,0,0,0,0,0,0,0,0
2,US,7098467379365104897,1652740731,#newyork #kazakhstan #rek #timesquare,6601333689400262661,Kazakh boy in USA,"Village boy from Kazakhstan live in New York 💪
🇺🇸🇰🇿",0,False,https://www.tiktok.com/@americanboy97d/video/7098467379365104897?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098467379365104897&source=h5_m,2577969,503,2172,4306,93375,7098467354749405954,7098467354749405954,72,7098467354749405954,original sound - americanboy97d,Kazakh boy in USA,6.601333689400263e+18,Kazakh boy in USA,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7098467300588063490.mp3,,False,False,,,,,[],0,0,Afghanistan,#newyork #kazakhstan #rek #timesquare,0,0,0,0,0,0,0,0,0,0
3,GB,7098822748239088902,1652823471, ,7047939256732763141,Imogenlucie,Follow my Instagram 😉👆💗,0,False,https://www.tiktok.com/@imogenlucieoxo/video/7098822748239088902?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098822748239088902&source=h5_m,3362364,387,563,1662,97087,6742199989981678342,6742199989981678342,72,6742199989981678342,whyisthisaudiofamous (Contains music from: Pistol - Andre Swilley & Cookie Cutters),"Contains music from: ""Pistol""",2381819.0,molly 💛,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1646046236596230.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/300aaff96976f5891d3ce79259304b7f.json,False,False,Andre Swilley & Cookie Cutters,Pistol,whyisthisaudiofamous (Contains music from: Pistol - Andre Swilley & Cookie Cutters),"Contains music from: ""Pistol""",[],0,0,Afghanistan,,0,0,0,0,0,0,0,0,0,0
4,TR,7087537805697600769,1650195991,#burayagel @baha.05.0,7017919424293078018,t☆lent.,No bio yet,0,False,https://www.tiktok.com/@talent._.24/video/7087537805697600769?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7087537805697600769&source=h5_m,17704829,902,2579,6349,309485,7087537802589506305,7087537802589506305,72,7087537802589506305,original sound - talent._.24 (Contains music from: Anjuna - Original Mix - Liquid Soul & Zyce),"Contains music from: ""Anjuna - Original Mix""",7.017919424293078e+18,t☆lent.,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7087537813436304130.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/890e904cd7ee8134c8fb56f238d53f1d.json,False,False,Liquid Soul & Zyce,Anjuna - Original Mix,original sound - talent._.24 (Contains music from: Anjuna - Original Mix - Liquid Soul & Zyce),"Contains music from: ""Anjuna - Original Mix""",[],0,0,Afghanistan,#burayagel,0,0,0,0,0,0,0,0,0,0
5,CA,7091361999824653573,1651086380, ,6804670109174531077,Riddhi Sanjay - Spa MakeOver,"Beauty tips from Spa Owner,Professional Esthetician & MakeupArtist 🇮🇳🇨🇦",0,False,https://www.tiktok.com/@riddhi_spamakeover/video/7091361999824653573?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091361999824653573&source=h5_m,994027,12,388,32,3294,7091361985858964230,7091361985858964230,72,7091361985858964230,original sound - riddhi_spamakeover,Riddhi Sanjay - Spa MakeOver,6.804670109174531e+18,Riddhi Sanjay - Spa MakeOver,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7091361994695101190.mp3,,False,False,,,,,[],0,0,Afghanistan,,0,0,0,0,0,0,0,0,0,0
6,GB,7101733224476511494,1653501120,#pranks #prank #foryou,7097462499839214597,funny_.uk,"Thank you for your attention🥰
Share interesting videos every day😜",0,False,https://www.tiktok.com/@funny_.uk/video/7101733224476511494?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101733224476511494&source=h5_m,10751150,1589,10853,10052,158174,7078250744465443589,7078250744465443589,10036,7078250744465443589,Low Down,venbee & Dan Fable,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/65c69fc97c3d43e18bf91031805bd50e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/7eacb9c58dee40438c5c198142c7da40,True,True,,,,,[],0,0,Afghanistan,#pranks #prank #foryou,0,0,1,0,0,0,0,0,0,0
7,EG,7100338118389157126,1653176296,اقسم بالله هعملك متابعة متنساش انت حلفت,6817703436356944901,معجبين و محبي الشيف بوراك,"اقسم بالله هعملك متابعة
متنساش انت حلفت 
وصلوني 150k",0,False,https://www.tiktok.com/@cznburakofficial11/video/7100338118389157126?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100338118389157126&source=h5_m,7075912,2336,1789,5723,121138,7100338084620831493,7100338084620831493,72,7100338084620831493,original sound - cznburakofficial11,معجبين و محبي الشيف بوراك,6.817703436356945e+18,معجبين و محبي الشيف بوراك,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100338100408158981.mp3,,False,False,,,,,[],0,0,Afghanistan,,0,0,0,0,0,0,0,0,0,0
0,AF,7087970300754709761,1650296688,#afghan #100k #answer #پشتون_تاجیک_هزاره_ازبک_زنده_باد🇦🇫 @omar..azizi #@nabikhan2022 #@afghan_2022_ #@haroon_azizi2022,6761581551102182405,Hameed R__K,🖤😟😟😟😟😟😟🖤,0,False,https://www.tiktok.com/@hameed_r_k/video/7087970300754709761?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7087970300754709761&source=h5_m,198,0,2,1,67,7071550623472241434,7071550623472241434,72,7071550623472241434,original sound - ibrahim_typist,🔥💔 ملنگ جان 💔🔥,6.736508446999266e+18,🔥💔 ملنگ جان 💔🔥,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7071550618938133274.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/73a28cc4863df22248e5440de7c1f631.json,False,False,,,,,[],0,0,Afghanistan,#afghan #100k #answer #پشتون_تاجیک_هزاره_ازبک_زنده_باد🇦🇫 #@nabikhan2022 #@afghan_2022_ #@haroon_azizi2022,1,0,0,0,0,0,0,0,0,1
1,AF,7102355504340503810,1653646005,#unfreeze #account #plzsupport #tiktok,7037666969697633281,Ngr_boy,😙ALLAH IS EVERY THING🕋☝️,0,False,https://www.tiktok.com/@itz_zahid.hashimi/video/7102355504340503810?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102355504340503810&source=h5_m,2954,7,8,1,407,7056031236561029889,7056031236561029889,72,7056031236561029889,original sound - 4guran,القرآن الكريم,6.694785852378138e+18,القرآن الكريم,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7056031211319298817.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/a593c89491e007f9b8b85b1bb344d1f6.json,False,False,,,,,[],0,0,Afghanistan,#unfreeze #account #plzsupport #tiktok,0,0,0,0,0,0,0,1,0,0
2,ES,7102514704651734278,1653683072,#madrid 😨😨😨,7017763642276824070,adiltribke,,0,False,https://www.tiktok.com/@adiltribke/video/7102514704651734278?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102514704651734278&source=h5_m,433129,461,1713,1828,15554,6972635953793862401,6972635953793862401,72,6972635953793862401,"original sound - aabb144y (Contains music from: Sourate Al Baqara - La vache, 1er partie - Faris Abbad)","Contains music from: ""Sourate Al Baqara - La vache, 1er partie""",6.751431588263626e+18,ما أجمل القرآن 💚,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6972636052020284162.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/0d60d79fb0607e3a3e97a5195c324765.json,False,False,Faris Abbad,"Sourate Al Baqara - La vache, 1er partie","original sound - aabb144y (Contains music from: Sourate Al Baqara - La vache, 1er partie - Faris Abbad)","Contains music from: ""Sourate Al Baqara - La vache, 1er partie""",[],0,0,Afghanistan,#madrid,0,0,0,0,0,0,0,0,0,0
3,US,7100826925765037355,1653290108,Buscando un novio.#fyp@curtisjones976,7097550848781567022,tfkahnzwyook91405,,0,False,https://www.tiktok.com/@tfkahnzwyook91405/video/7100826925765037355?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100826925765037355&source=h5_m,7630472,255,301,1714,52526,7100826774963211054,7100826774963211054,72,7100826774963211054,original sound - tfkahnzwyook91405,tfkahnzwyook91405,7.097550848781567e+18,tfkahnzwyook91405,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7100826870379301675.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/9081fdbd49b05c952a3c4d143a2ec189.json,False,False,,,,,[],0,0,Afghanistan,#fyp@curtisjones976,0,0,0,0,0,1,0,0,0,0
4,US,7089603053715836162,1650676845,#foryou #mehrnigoemusuc,6584450263180230662,Mehrnigor,"Mehrnigor Rustam 
🎤 singer 
Instagram 👉 @mehrnigormusic
Snap 👉 Mehrnigor14",0,False,https://www.tiktok.com/@mehrnigormusic/video/7089603053715836162?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7089603053715836162&source=h5_m,175141,28,28,511,5304,7037488903175031558,7037488903175031558,72,7037488903175031558,original sound - dicklacker,grayson !! 💗💚,6.941459526109955e+18,grayson !! 💗💚,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7037488940210998022.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/a9f4c70680dc2eebab4ebc8722da6c8f.json,False,False,,,,,[],0,0,Afghanistan,#foryou #mehrnigoemusuc,0,0,1,0,0,0,0,0,0,0
5,GB,7099844403027594501,1653061344,Planned ending or not?🤔 @cirquedusoleil #cirqueartist #tumblersoftiktok #powertrack #tumbler #tumbling #Alegria #fyp #gymnasticstiktok,6726214130862261253,L U C I E,"Cirque du Soleil Artist🎪
Ex Gymnast for Great Britain🤸‍♀️",0,False,https://www.tiktok.com/@luciecolebeck/video/7099844403027594501?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099844403027594501&source=h5_m,10997350,269,827,1861,115825,249539203825504256,249539203825504256,71,249539203825504256,Believer,Imagine Dragons,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/b97b4b5bb7bd4c06ac45e0fb3d172de6,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/264188aef6d346db8add1491f2c0566b,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1411628233', 'external_song_key': 'apple_song_id'}]",0,0,Afghanistan,#cirqueartist #tumblersoftiktok #powertrack #tumbler #tumbling #Alegria #fyp #gymnasticstiktok,0,0,0,0,0,1,0,0,0,0
6,US,7096851456678055214,1652364495,That’s one way to do it 😅 @uglyboy679 #fyp #foryoupage #trending #bowling #bowlingtiktok #10MillionAdoptions,6816128639046878213,Keaton Hendrix,The Bowling Guy 🎳,0,False,https://www.tiktok.com/@khendrix92/video/7096851456678055214?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096851456678055214&source=h5_m,6795231,1267,5268,3028,375194,302304068389978112,302304068389978112,71,302304068389978112,"Frolic (From ""Curb Your Enthusiasm"")",London Music Works,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/e15c12f9a5cc485a9f20ef72accb8596,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/f9a23e09ec594158be8d589533ff75d3,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '624570742', 'external_song_key': 'apple_song_id'}]",0,0,Afghanistan,#fyp #foryoupage #trending #bowling #bowlingtiktok #10MillionAdoptions,0,0,0,1,0,1,0,0,0,0
7,US,7102162502783356206,1653601067,#veral #airport #tiktok #crazy,6780474616114775045,Yakir Liluz,,0,False,https://www.tiktok.com/@yakirliluz2/video/7102162502783356206?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102162502783356206&source=h5_m,2552249,347,782,50,46654,7102162471342852907,7102162471342852907,72,7102162471342852907,original sound - yakirliluz2,Yakir Liluz,6.780474616114775e+18,Yakir Liluz,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7102162497230293806.mp3,,False,False,,,,,[],0,0,Afghanistan,#veral #airport #tiktok #crazy,0,0,0,0,0,0,0,1,0,0
0,AF,7103247938582760705,1653853791, ,6856127809892828165,👑 S h A z A d A  👑,"دیـواـنہ چـو دیـواـنہ بـیند خـوشـشـ آیـد ❤👏



F o L L o W   ___. 👉🏻 Instagra",0,False,https://www.tiktok.com/@shazada____gak/video/7103247938582760705?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103247938582760705&source=h5_m,75,1,0,0,13,7044403374472628997,7044403374472628997,72,7044403374472628997,original sound - muslimyar66,ATA,7.03797378306035e+18,ATA,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7084182328708287237.mp3,,False,False,,,,,[],0,0,Afghanistan,,0,0,0,0,0,0,0,0,0,0
1,AF,7079853669457415426,1648406888,Reply to @fardinmohammadi7 #foryoupage #foryou #fyp #exblor #naseebashrafi @hikmatkhankhilji008 @jabar_jan2 #OscarsAtHome #WomenOwnedBusiness,7053176610832335873,💥Simple King💥🤴,"وتُعِزُ مَنّ تَشاّ و تُزِ ّلُ مٓن تَشا
Business Lover
انستاگرام فالو کنین",0,False,https://www.tiktok.com/@naseebashrafi007/video/7079853669457415426?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079853669457415426&source=h5_m,561799,771,445,10329,25720,7079853659772734209,7079853659772734209,72,7079853659772734209,original sound - naseebashrafi007 (Contains music from: Zargy Me Thakhtawi - Rahul Dua),"Contains music from: ""Zargy Me Thakhtawi""",7.053176610832336e+18,💥Simple King💥🤴,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7079853612503943937.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d3bc044d9385e482daee459b14e88712.json,False,False,Rahul Dua,Zargy Me Thakhtawi,original sound - naseebashrafi007 (Contains music from: Zargy Me Thakhtawi - Rahul Dua),"Contains music from: ""Zargy Me Thakhtawi""",[],0,0,Afghanistan,#foryoupage #foryou #fyp #exblor #naseebashrafi #OscarsAtHome #WomenOwnedBusiness,0,0,1,1,0,1,0,0,0,0
2,KG,7083562387005033730,1649270392,#tamimaimaq #horses 😭💔🖤,6654834531013509125,تميم دلاور ايماق,"-Afghan Boy 🇦🇫
-Horse & Football Lover ⚽️🐎
-live in Kyrgyzstan 🇰🇬
-AUCA📚",0,False,https://www.tiktok.com/@tamim_aimaq/video/7083562387005033730?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7083562387005033730&source=h5_m,938298,63,97,2104,27371,6955218712936942337,6955218712936942337,72,6955218712936942337,original sound - emroozplusofficial (Contains music from: Saksofon - Ylber Aliu),"Contains music from: ""Saksofon""",6.832377984746702e+18,Emrooz Plus Official,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6955218645802830593.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e80f6f5918487450b26e69f42484e9d9.json,False,False,Ylber Aliu,Saksofon,original sound - emroozplusofficial (Contains music from: Saksofon - Ylber Aliu),"Contains music from: ""Saksofon""",[],0,0,Afghanistan,#tamimaimaq #horses,0,0,0,0,0,0,0,0,0,0
3,FR,7100135758257802501,1653129182,#foryoupage #افغانی_تیک_تاک,7094987353022563334,Ahmad _khurasani,🦁💚🤍🖤🦁,0,False,https://www.tiktok.com/@ahmad_khurasani07/video/7100135758257802501?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100135758257802501&source=h5_m,104995,48,319,22,2430,7100135727152827142,7100135727152827142,72,7100135727152827142,original sound - ahmad_khurasani07,Ahmad _khurasani,7.094987353022563e+18,Ahmad _khurasani,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100135745243450117.mp3,,False,False,,,,,[],0,0,Afghanistan,#foryoupage #افغانی_تیک_تاک,0,0,0,1,0,0,0,0,0,0
4,IT,7100136123468500229,1653129267,#weeememeitalia #weee #funny #badday,6913212644552000514,🇮🇹WEEEMEMEITALIA @Goophex,𝔸 𝕃𝕒𝕦𝕘𝕙 𝔸 𝔻𝕒𝕪 𝕂𝕖𝕖𝕡𝕤 𝕋𝕙𝕖 𝕋𝕣𝕠𝕦𝕓𝕝𝕖𝕤 𝔸𝕨𝕒𝕪 By➠@Goophex,0,False,https://www.tiktok.com/@weeememeitalia/video/7100136123468500229?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100136123468500229&source=h5_m,17341961,943,9705,21656,347915,7020357302339390214,7020357302339390214,72,7020357302339390214,original sound - weeememeitalia,🇮🇹WEEEMEMEITALIA @Goophex,6.913212644552001e+18,🇮🇹WEEEMEMEITALIA @Goophex,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7020357478290492165.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1ef170b39a1ab52a27b8bd26d4ab0979.json,False,False,,,,,[],0,0,Afghanistan,#weeememeitalia #weee #funny #badday,0,0,0,0,1,0,0,0,0,0
